count;geo_local_area
1;Strathcona
1;Strathcona
10;Downtown
3;Downtown
7;Strathcona
13;Downtown
6;Downtown
6;Downtown
6;Downtown
5;Downtown
8;Downtown
8;Downtown
9;Downtown
4;Downtown
3;Strathcona
15;Downtown
15;Downtown
3;Downtown
8;Downtown
5;Strathcona
1;Strathcona
6;Downtown
1;Strathcona
2;Strathcona
4;Strathcona
1;Downtown
1;Downtown
3;Strathcona
3;Strathcona
1;Strathcona
1;Strathcona
7;Downtown
2;Downtown
2;Downtown
6;Strathcona
2;Strathcona
2;Strathcona
3;Downtown
2;Downtown
5;Downtown
14;Downtown
2;Downtown
2;Strathcona
11;Strathcona
3;Strathcona
3;Strathcona
3;Strathcona
3;Downtown
3;Downtown
2;Downtown
2;Downtown
2;Downtown
2;Downtown
19;Downtown
5;Strathcona
9;Strathcona
12;Downtown
1;Downtown
11;Strathcona
20;Downtown
3;Downtown
3;Downtown
3;Downtown
2;Strathcona
14;Strathcona
14;Strathcona
4;Downtown
2;Strathcona
1;Downtown
2;Strathcona
1;Strathcona
1;Downtown
2;Downtown
2;Strathcona
2;Strathcona
3;Downtown
1;Downtown
13;Downtown
2;Downtown
2;Strathcona
7;Strathcona
1;Downtown
3;Strathcona
15;Strathcona
2;Downtown
1;Downtown
1;Strathcona
2;Downtown
4;Downtown
5;Strathcona
1;Downtown
13;Strathcona
1;Strathcona
6;Strathcona
3;Strathcona
3;Strathcona
3;Strathcona
1;Strathcona
10;Downtown
10;Downtown
10;Downtown
8;Strathcona
5;Downtown
5;Downtown
3;Strathcona
1;Downtown
4;Strathcona
4;Strathcona
8;Strathcona
2;Strathcona
1;Strathcona
1;Strathcona
8;Downtown
2;Strathcona
3;Strathcona
23;Downtown
23;Downtown
5;Strathcona
4;Strathcona
1;Strathcona
5;Strathcona
7;Strathcona
11;Downtown
7;Strathcona
7;Downtown
6;Downtown
1;Strathcona
2;Downtown
1;Downtown
2;Downtown
1;Strathcona
1;Downtown
3;Strathcona
3;Strathcona
3;Strathcona
8;Strathcona
7;Strathcona
3;Downtown
6;Downtown
4;Downtown
16;Downtown
1;Downtown
1;Downtown
5;Strathcona
5;Downtown
1;Strathcona
2;Downtown
2;Downtown
3;Downtown
3;Downtown
1;Strathcona
2;Strathcona
11;Strathcona
11;Strathcona
6;Strathcona
1;Downtown
2;Strathcona
10;Downtown
2;Strathcona
13;Strathcona
3;Downtown
7;Strathcona
8;Downtown
1;Downtown
2;Strathcona
1;Strathcona
2;Strathcona
3;Downtown
15;Strathcona
9;Downtown
2;Downtown
3;Strathcona
2;Downtown
4;Strathcona
1;Strathcona
7;Downtown
1;Downtown
18;Downtown
4;Strathcona
1;Strathcona
7;Downtown
3;Strathcona
13;Strathcona
4;Downtown
8;Downtown
3;Downtown
1;Downtown
2;Strathcona
2;Downtown
8;Downtown
2;Strathcona
11;Strathcona
1;Downtown
4;Strathcona
4;Strathcona
4;Strathcona
4;Strathcona
1;Strathcona
3;Downtown
3;Downtown
7;Strathcona
1;Downtown
16;Strathcona
8;Downtown
1;Downtown
1;Downtown
1;Downtown
5;Strathcona
1;Downtown
3;Downtown
8;Downtown
